kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
20000,Prov. Jawa Barat,21100,Kab. Garut,21128,Kec. Kadungora,20227087,SD NEGERI TANGGULUN 1 KADUNGORA,SD,N,Kp. Tanggulun,-7.0629,107.868
20000,Prov. Jawa Barat,20700,Kab. Cianjur,20718,Kec. Mande,20203657,SD NEGERI MANDE 2,SD,N,Kp Pawenang Rt 02 Rw 04,-6.7668,107.2008
20000,Prov. Jawa Barat,20500,Kab. Bogor,20538,Kec. Cigombong,20230451,SD NEGERI CIBURUY,SD,N,Kp Ciburuy Rt 01/03,-6.7303,106.8064
20000,Prov. Jawa Barat,20500,Kab. Bogor,20518,Kec. Cileungsi,20201772,SD N CILEUNGSI 07,SD,N,Kp. Tengah Rt 01/05,-6.3947,106.962
20000,Prov. Jawa Barat,22300,Kab. Bandung Barat,22304,Kec. Cililin,20228532,SMKS HARAPAN BANGSA 2 CILILIN,SMK,S,JL RAYA CILILIN NO.1,-6.9522,107.4863
20000,Prov. Jawa Barat,26000,Kota Bandung,26024,Kec. Sukajadi,20280592,SLB NOOR RAKHMAH,SLB,S,Jl. Cipedes Selatan No. 85,-6.8955,107.5912
20000,Prov. Jawa Barat,21700,Kab. Cirebon,21702,Kec. Ciledug,20244363,SD NEGERI 1 LEUWEUNGGAJAH,SD,N,Jl. Letjen S Parman No. 01,-6.9074,108.737
20000,Prov. Jawa Barat,26000,Kota Bandung,26015,Kec. Kiaracondong,20245512,SD NEGERI CICAHEUM 1,SD,N,Jl. Antapani No. 44,-6.9185,107.6616
20000,Prov. Jawa Barat,20500,Kab. Bogor,20519,Kec. Gunungputri,20232319,SMAS BINA PENDIDIKAN 2,SMA,S,DS. CIANGSANA RT. 3/9,-6.3462,106.9613
20000,Prov. Jawa Barat,20500,Kab. Bogor,20536,Kec. Tanjung Sari,20200778,SD NEGERI TANJUNGSARI 02,SD,N,Kp. Darma RT. 09/05,-6.5734,107.1415
20000,Prov. Jawa Barat,22100,Kab. Karawang,22116,Kec. Pedes,69827765,SMK INDUSTRI TEKNOLOGI NASIONAL,SMK,S,Jl Raya Pedes Sungaibuntu,-6.072141,107.368602
20000,Prov. Jawa Barat,21700,Kab. Cirebon,21735,Kec. Gunung Jati,20214729,SD NEGERI 2 SAMBENG,SD,N,Jl. Ki Gede Mayung,-6.6527,108.5204
20000,Prov. Jawa Barat,20500,Kab. Bogor,20531,Kec. Tamansari,20231071,SMP ISLAM TERPADU AL MUTTAQIEN,SMP,S,Jalan Babakan Inpres Sukajadi Rt.02/02,-6.6437,106.7278
20000,Prov. Jawa Barat,20700,Kab. Cianjur,20707,Kec. Kadupandak,20203980,SD NEGERI SIRNABAKTI,SD,N,Kp.Bebedahan,-7.191,107.0083
20000,Prov. Jawa Barat,20500,Kab. Bogor,20505,Kec. Ciampea,20279822,SMKS PERSADA,SMK,S,JL. CIBANTENG PROYEK,-6.5694,106.7216
20000,Prov. Jawa Barat,21100,Kab. Garut,21122,Kec. Sukawening,20226896,SD NEGERI SUKALUYU 3,SD,N,KP.SUKASIRNA,-7.1341,108.0118
20000,Prov. Jawa Barat,22200,Kab. Bekasi,22225,Kec. Sukakarya,20218488,SD NEGERI SUKAINDAH 04,SD,N,KP. PULO GELATIK,-6.1139,107.1565
20000,Prov. Jawa Barat,26100,Kota Bogor,26104,Kec. Kota Bogor Tengah,20220566,SD NEGERI PENGADILAN 5,SD,N,Jl. Pengadilan No. 10,-6.5922,106.7933
20000,Prov. Jawa Barat,26800,Kota Tasikmalaya,26807,Kec. Cihideung,20224674,SDN Sukarame,SD,N,Jln Cieunteung No 123,-7.325,108.2141
20000,Prov. Jawa Barat,21700,Kab. Cirebon,21714,Kec. Plumbon,69848988,SMP IT AL BURHANY,SMP,S,Komplek Pon. Pes. Assalafiyyah,-6.720482,108.489391
