kode_prop,propinsi,kode_kab_kota,kabupaten_kota,kode_kec,kecamatan,npsn,sekolah,bentuk,status,alamat_jalan,lintang,bujur
100000,Prov. Jambi,100700,Kab. Muaro Jambi,100701,Kec. Jambi Luar Kota,10502883,SD NEGERI 212IX SARANG BURUNG,SD,N,JL. PEMATANG BEDARO,-1.5881,103.5552
100000,Prov. Jambi,100500,Kab. Kerinci,100503,Kec. Keliling Danau,10502618,SD NEGERI 15III TANJUNG PAUH MUDIK,SD,N,Tanjung Pauh Mudik,-2.0943,101.4902
100000,Prov. Jambi,100500,Kab. Kerinci,100518,Kec. Bukit Kerman,10502245,SD NEGERI 106III MUAK,SD,N,Muak,-2.18,101.5456
100000,Prov. Jambi,100200,Kab. Bungo,100208,Kec. Pelepat Ilir,10500939,SD NEGERI 003II DESA DANAU,SD,N,Dusun Danau,-1.6158,102.2105
100000,Prov. Jambi,100900,Kab. Merangin,100909,Kec. Lembah Masurai,10501183,SD NEGERI 111/VI RANTAU JERING I,SD,N,Jln. Rantau Jering Km.64 Rt.03 Rw.0,-2.34273,102.069516
100000,Prov. Jambi,100300,Kab. Sarolangun,100305,Kec. Pauh,10505991,SD N 203VII BATU KUCING,SD,N,Jl. Sarolangun - Tembesi - Desa Batu Kucing - Kec. Pauh,-2.1541,102.7969
20000,Prov. Jawa Barat,21700,Kab. Cirebon,21725,Kec. Pabedilan,20214882,SMP NEGERI 1 PABEDILAN,SMP,N,Jalan Mayjend Sutoyo No. 159,-6.8498,108.7547
20000,Prov. Jawa Barat,20700,Kab. Cianjur,20708,Kec. Takokak,20203913,SD NEGERI SUKAGALIH 1,SD,N,Kp Sukagalih I,-7.113,106.9608
20000,Prov. Jawa Barat,20500,Kab. Bogor,20505,Kec. Ciampea,20279822,SMKS PERSADA,SMK,S,JL. CIBANTENG PROYEK,-6.5694,106.7216
20000,Prov. Jawa Barat,20600,Kab. Sukabumi,20622,Kec. Nagrak,20271229,SDIT AT-TAKWIN,SD,S,Jl.Raya Cibadak-Nagrak No.88,-6.882798,106.794452
20000,Prov. Jawa Barat,26100,Kota Bogor,26101,Kec. Kota Bogor Selatan,20220354,SMP NEGERI 9 BOGOR,SMP,N,Jalan Dreded V Nomor 14 Bogor,-6.6156,106.8003
20000,Prov. Jawa Barat,21100,Kab. Garut,21113,Kec. Banjarwangi,69948400,SMA NUSA BANGSA,SMA,S,Kp. Pasirpogor RT 02 RW 06,-7.4279,107.8916
20000,Prov. Jawa Barat,21500,Kab. Kuningan,21506,Kec. Ciwaru,20213153,SD NEGERI ANDAMUI,SD,N,Dusun Puhun,-7.0351,108.6499
20000,Prov. Jawa Barat,26500,Kota Bekasi,26504,Kec. Bekasi Timur,20223105,SMP AL WATHONIYAH,SMP,S,Jl. KH. Mas Mansyur No. 76 Bekasi Mede,-6.2375,107.0126
30000,Prov. Jawa Tengah,31800,Kab. Pati,31804,Kec. Winong,20317127,SD NEGERI GODO 01,SD,N,Jl Godo - Kropak,-6.8609,111.1009
